Set	Gene	RGR	R2adj	RMSE	DW_final	FW_final	effect	comment
1	AT1G17290	0.0049	0.9618	1.6409	0.0231	0.2250	neg. Control	
1	AT1G17290	0.0049	0.9429	1.4400	0.0231	0.2250	neg. Control	
1	AT1G17290	0.0049	0.9854	1.0964	0.0231	0.2250	neg. Control	
1	AT1G17290	0.0050	0.9739	1.5659	0.0231	0.2250	neg. Control	
1	AT2G41880	0.0052	0.9703	1.9401	0.0304	0.3010	Reduced growth at 17 °C	
1	AT2G41880	0.0059	0.9659	2.4170	0.0304	0.3010	Reduced growth at 17 °C	
1	AT2G41880	0.0053	0.9725	1.9035	0.0304	0.3010	Reduced growth at 17 °C	
1	AT2G41880	0.0060	0.9832	1.0896	0.0304	0.3010	Reduced growth at 17 °C	
1	WT	0.0050	0.9876	1.0636	0.0421	0.4190	na	
1	WT	0.0052	0.9847	1.5496	0.0421	0.4190	na	
1	WT	0.0049	0.9811	1.8698	0.0421	0.4190	na	
1	WT	0.0045	0.9764	1.8375	0.0421	0.4190	na	
1	AT5G38710	0.0057	0.9774	2.0420	0.0342	0.3500	neg. Control	
1	AT5G38710	0.0053	0.9863	1.4928	0.0342	0.3500	neg. Control	
1	AT5G38710	0.0066	0.9970	0.5928	0.0342	0.3500	neg. Control	
1	AT5G38710	0.0049	0.9888	1.0532	0.0342	0.3500	neg. Control	
1	AT5G26780	0.0055	0.9841	1.4285	0.0268	0.2650	Reduced growth at 17 °C	
1	AT5G26780	0.0059	0.9977	0.4410	0.0268	0.2650	Reduced growth at 17 °C	
1	AT5G26780	0.0057	0.9792	1.3679	0.0268	0.2650	Reduced growth at 17 °C	
1	AT5G26780	0.0050	0.9917	0.9739	0.0268	0.2650	Reduced growth at 17 °C	
1	AT1G23730	0.0054	0.9927	0.9411	0.0280	0.2800	neg. Control	
1	AT1G23730	0.0053	0.9786	1.4411	0.0280	0.2800	neg. Control	
1	AT1G23730	0.0053	0.9878	1.1623	0.0280	0.2800	neg. Control	
1	AT1G23730	0.0048	0.9839	1.1076	0.0280	0.2800	neg. Control	
1	AT4G28220	0.0040	0.9349	1.4453	0.0176	0.1690	neg. Control	only rep 1, 2 and 4 (rep 3 died)
1	AT4G28220	0.0048	0.9858	1.0214	0.0176	0.1690	neg. Control	only rep 1, 2 and 4 (rep 3 died)
1	AT4G28220	NaN	NaN	NaN	0.0176	0.1690	neg. Control	only rep 1, 2 and 4 (rep 3 died)
1	AT4G28220	0.0059	0.9629	2.4091	0.0176	0.1690	neg. Control	only rep 1, 2 and 4 (rep 3 died)
1	AT2G41880	0.0054	0.9918	0.7295	0.0250	0.2450	Reduced growth at 17 °C	
1	AT2G41880	0.0052	0.9621	1.9059	0.0250	0.2450	Reduced growth at 17 °C	
1	AT2G41880	0.0053	0.9682	1.6374	0.0250	0.2450	Reduced growth at 17 °C	
1	AT2G41880	0.0052	0.9783	1.5340	0.0250	0.2450	Reduced growth at 17 °C	
1	AT1G62960	0.0049	0.9842	1.0620	0.0284	0.2750	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0060	0.9586	1.8323	0.0284	0.2750	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0050	0.9954	0.6624	0.0284	0.2750	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0051	0.9951	0.7661	0.0284	0.2750	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT5G35170	NaN	NaN	NaN	0.0050	0.0530	neg. Control	only rep 4 (rep 1, 2 and 3 no germination)
1	AT5G35170	NaN	NaN	NaN	0.0050	0.0530	neg. Control	only rep 4 (rep 1, 2 and 3 no germination)
1	AT5G35170	NaN	NaN	NaN	0.0050	0.0530	neg. Control	only rep 4 (rep 1, 2 and 3 no germination)
1	AT5G35170	0.0055	0.9728	1.5142	0.0050	0.0530	neg. Control	only rep 4 (rep 1, 2 and 3 no germination)
1	AT1G17290	0.0049	0.9789	1.1213	0.0285	0.2850	neg. Control	
1	AT1G17290	0.0054	0.9801	1.2585	0.0285	0.2850	neg. Control	
1	AT1G17290	0.0055	0.9789	1.7719	0.0285	0.2850	neg. Control	
1	AT1G17290	0.0053	0.9910	1.0743	0.0285	0.2850	neg. Control	
1	AT4G18440	0.0050	0.9891	1.1622	0.0379	0.3840	Reduced growth at 27 °C	
1	AT4G18440	0.0045	0.9743	1.6763	0.0379	0.3840	Reduced growth at 27 °C	
1	AT4G18440	0.0050	0.9919	1.0380	0.0379	0.3840	Reduced growth at 27 °C	
1	AT4G18440	0.0044	0.9944	0.6847	0.0379	0.3840	Reduced growth at 27 °C	
1	AT1G62960	0.0050	0.9879	1.3788	0.0319	0.3110	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0051	0.9813	1.2983	0.0319	0.3110	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0048	0.9730	1.2689	0.0319	0.3110	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0047	0.9885	1.0521	0.0319	0.3110	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT5G35170	NaN	NaN	NaN	0.0045	0.0470	neg. Control	only rep 2 (rep 1, 3 and 4 no germination)
1	AT5G35170	0.0051	0.9523	1.8776	0.0045	0.0470	neg. Control	only rep 2 (rep 1, 3 and 4 no germination)
1	AT5G35170	NaN	NaN	NaN	0.0045	0.0470	neg. Control	only rep 2 (rep 1, 3 and 4 no germination)
