Entry	Gene names	Organism	EC number	Temperature dependence	Kinetics
Q84LK0	MSH1 CHM CHM1 At3g24320 K7M2.9	Arabidopsis thaliana (Mouse-ear cress)			
Q42578	PER53 P53 At5g06720 MPH15.8	Arabidopsis thaliana (Mouse-ear cress)	1.11.1.7		
Q8S9J1	PPOX2 HEMG2 MEE61 PPO2 At5g14220 F18O22.10 MUA22.22	Arabidopsis thaliana (Mouse-ear cress)	1.3.3.4		
Q84XU2	PAPP5 PP5 At2g42810 F7D19.19	Arabidopsis thaliana (Mouse-ear cress)	3.1.3.16		BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=160 mM for pNPP (at pH 7.5 and 30 degrees Celsius) {ECO:0000269|PubMed:15707897}; Vmax=22 umol/min/mg enzyme with pNPP as substrate (at pH 7.5 and 30 degrees Celsius) {ECO:0000269|PubMed:15707897}; Note=Experiments have been done in the presence of 100 uM arachidonic acid (AA).;
Q9SNB6	RDUF1 At3g46620 F12A12.140	Arabidopsis thaliana (Mouse-ear cress)	2.3.2.27		
O81210	RBOHC RHD2 At5g51060 K3K7.25	Arabidopsis thaliana (Mouse-ear cress)	1.11.1.-; 1.6.3.-		
O82481	ARAC10 ROP11 At5g62880 MQB2.180 MQB2.20	Arabidopsis thaliana (Mouse-ear cress)			
Q9LSD0	TSO2 At3g27060 MOJ10.13	Arabidopsis thaliana (Mouse-ear cress)	1.17.4.1		
Q9FT72	RECQL3 RECQ3 RQL3 At4g35740 F8D20.250	Arabidopsis thaliana (Mouse-ear cress)	3.6.4.12		
Q8VZ10	SOQ1 At1g56500 F13N6.21	Arabidopsis thaliana (Mouse-ear cress)	3.1.3.-		
Q9SPU7	TERT At5g16850 F5E19.190	Arabidopsis thaliana (Mouse-ear cress)	2.7.7.49		
Q8LLD0	NUP96 MOS3 PRE SAR3 At1g80680 F23A5.3	Arabidopsis thaliana (Mouse-ear cress)			
O81208	OHP1 APG16 HLIP LIL2 OHP PDE335 At5g02120 T7H20.170	Arabidopsis thaliana (Mouse-ear cress)			
P54887	P5CSA P5CS1 At2g39800 T5I7.10	Arabidopsis thaliana (Mouse-ear cress)	2.7.2.11; 1.2.1.41		
Q0WPF2	PCFS4 At4g04885 T4B21.1	Arabidopsis thaliana (Mouse-ear cress)			
Q9FZ59	PEPR2 At1g17750 F11A6.9	Arabidopsis thaliana (Mouse-ear cress)	2.7.11.1		
O64682	PID ABR At2g34650 T31E10.1	Arabidopsis thaliana (Mouse-ear cress)	2.7.11.1		
Q8LDM2	PKSB LAP5 At4g34850 T11I11.90	Arabidopsis thaliana (Mouse-ear cress)	2.3.1.-		BIOPHYSICOCHEMICAL PROPERTIES:  Kinetic parameters: KM=30.4 uM for n-dodecanoyl-CoA (at pH 7 and 30 degrees Celsius) {ECO:0000269|PubMed:19043200}; Note=kcat is 0.06 min(-1) with n-dodecanoyl-CoA as substrate for the production of the triketide alpha-pyrone (at pH 7 and 30 degrees Celsius). {ECO:0000269|PubMed:19043200};
A8MS68	LPD1 At3g16950 K14A17.6	Arabidopsis thaliana (Mouse-ear cress)	1.8.1.4		
Q9S7Z8	PIN3 At1g70940 F15H11.14	Arabidopsis thaliana (Mouse-ear cress)			
Q56XG6	RH15 UAP56A At5g11170 F2I11.60	Arabidopsis thaliana (Mouse-ear cress)	3.6.4.13		
Q08682	RPSaA At1g72370 T10D10.16	Arabidopsis thaliana (Mouse-ear cress)			
Q9SKG5	SERK4 BKK1 At2g13790 F13J11.14	Arabidopsis thaliana (Mouse-ear cress)	2.7.10.1; 2.7.11.1		
F4I3V6	SHW1 At1g69935 T17F3	Arabidopsis thaliana (Mouse-ear cress)			
P93015	SPL3 At2g33810 T1B8.11	Arabidopsis thaliana (Mouse-ear cress)			
Q8W5R2	SGR2 At1g31480 F27M3.29 T8E3.1	Arabidopsis thaliana (Mouse-ear cress)	3.1.1.-		
Q93VR4	MLP423 At1g24020 T23E23.17 T23E23_22	Arabidopsis thaliana (Mouse-ear cress)			
Q9ZUA3	MAP70.3 At2g01750 T8O11.8	Arabidopsis thaliana (Mouse-ear cress)			
